date,t2m_max,t2m_min,t2m_mean,precip_mm
2019-01-01,12.1,4.3,7.9,0.0
2019-01-02,6.6,4.0,5.1,29.3
2019-01-03,11.7,3.7,5.8,15.2
2019-01-04,16.7,2.2,7.1,0.0
2019-01-05,20.2,2.1,9.5,0.0
2019-01-06,20.6,8.0,13.0,0.0
2019-01-07,23.0,16.9,18.8,0.5
2019-01-08,22.3,12.5,17.1,0.0
2019-01-09,18.8,9.1,13.1,0.0
2019-01-10,13.8,5.8,9.4,0.2
2019-01-11,17.8,9.7,12.0,2.4
2019-01-12,15.5,12.3,14.0,4.0
2019-01-13,12.1,4.1,7.8,0.0
2019-01-14,9.7,3.4,6.0,0.0
2019-01-15,10.2,7.3,8.5,0.3
2019-01-16,14.7,7.2,10.0,2.3
2019-01-17,21.0,11.3,15.1,1.1
2019-01-18,19.4,10.9,14.1,0.8
2019-01-19,17.9,7.4,12.3,5.6
2019-01-20,11.1,0.4,5.3,0.0
2019-01-21,17.6,2.2,8.2,0.0
2019-01-22,21.5,13.9,16.5,1.8
2019-01-23,17.2,2.7,7.6,11.1
2019-01-24,14.7,0.7,6.7,0.0
2019-01-25,12.2,4.2,8.2,0.5
2019-01-26,15.4,5.3,10.5,0.0
2019-01-27,17.2,6.9,11.8,8.4
2019-01-28,19.7,7.7,12.3,0.0
2019-01-29,19.5,2.2,7.7,0.2
2019-01-30,12.1,3.1,6.9,0.0
2019-01-31,16.1,8.4,10.8,0.7
2019-02-01,19.0,12.9,15.0,0.9
2019-02-02,18.3,13.5,15.8,2.9
2019-02-03,23.5,15.6,18.1,1.7
2019-02-04,23.3,18.2,20.2,0.9
2019-02-05,26.2,18.0,20.9,1.2
2019-02-06,24.9,19.7,21.6,0.9
2019-02-07,22.9,12.1,18.7,6.2
2019-02-08,8.7,0.8,3.2,1.1
2019-02-09,6.3,1.6,2.8,1.5
2019-02-10,11.8,3.5,5.9,3.1
2019-02-11,17.9,8.4,12.3,2.8
2019-02-12,15.8,9.6,13.4,2.6
2019-02-13,16.6,0.3,8.7,0.0
2019-02-14,22.5,10.8,15.2,0.0
2019-02-15,26.9,12.2,18.4,0.0
2019-02-16,22.9,5.6,13.6,0.0
2019-02-17,15.6,12.0,14.0,0.6
2019-02-18,14.8,5.8,9.7,0.0
2019-02-19,11.9,5.3,7.5,8.6
2019-02-20,16.1,3.0,7.8,1.4
2019-02-21,13.7,5.7,10.2,0.4
2019-02-22,19.0,9.3,11.7,3.0
