date,precip_mm_sum,soil_surface_moisture,soil_rootzone_moisture,t2m_mean,t2m_max,t2m_min,precip_mm_sum_lag7,precip_mm_sum_lag14,soil_surface_moisture_lag7,soil_surface_moisture_lag14,soil_rootzone_moisture_lag7,soil_rootzone_moisture_lag14,t2m_mean_lag7,t2m_mean_lag14,t2m_max_lag7,t2m_max_lag14,t2m_min_lag7,t2m_min_lag14,precip_mm_sum_lag7,soil_surface_moisture_lag7,soil_rootzone_moisture_lag7,t2m_mean_lag7,t2m_max_lag7,t2m_min_lag7,precip_mm_sum_lag14,soil_surface_moisture_lag14,soil_rootzone_moisture_lag14,t2m_mean_lag14,t2m_max_lag14,t2m_min_lag14,ndvi_delta,ndvi,ndvi_anomaly
2019-01-16,0.0,20.67667686484373,126.0756620760012,14.7,14.7,7.2,0.0,44.19096119992478,21.530591919406703,25.218295350703,130.37691871582646,139.81758944056202,18.8,6.6,18.8,6.6,9.1,4.0,0.0,21.530591919406703,130.37691871582646,18.8,18.8,9.1,44.19096119992478,25.218295350703,139.81758944056202,6.6,6.6,4.0,0.0,0.4669004295012314,0.0
2019-01-17,0.0,20.091834436997484,124.84774949998628,21.0,21.0,11.3,0.0,24.710915864318974,22.1480732643836,24.20231509088526,129.729658990562,139.01580725958914,13.8,11.7,13.8,11.7,5.8,3.7,0.0,22.1480732643836,129.729658990562,13.8,13.8,5.8,24.710915864318974,24.20231509088526,139.01580725958914,11.7,11.7,3.7,0.0,0.4669004295012314,0.0
2019-01-18,0.0,19.79157893343569,123.10343559325555,19.4,19.4,10.9,0.0,0.0,22.7655546093605,23.18633483106752,129.08239926529754,138.21402507861626,17.8,16.7,17.8,16.7,9.7,2.2,0.0,22.7655546093605,129.08239926529754,17.8,17.8,9.7,0.0,23.18633483106752,138.21402507861626,16.7,16.7,2.2,0.0,0.4669004295012314,0.0
2019-01-19,0.0,19.4913234298739,121.35912168652484,17.9,17.9,7.4,0.0,0.0,22.45915697975241,22.17035457124978,128.89876191954204,137.41224289764338,15.5,20.2,15.5,20.2,12.3,2.1,0.0,22.45915697975241,128.89876191954204,15.5,15.5,12.3,0.0,22.17035457124978,137.41224289764338,20.2,20.2,2.1,0.0,0.4669004295012314,0.0
2019-01-20,0.0,19.19106792631211,119.61480777979412,11.1,11.1,0.4,0.0,0.0,22.15275935014433,21.751273238976456,128.71512457378654,135.28288807879255,12.1,20.6,12.1,20.6,4.1,8.0,0.0,22.15275935014433,128.71512457378654,12.1,12.1,4.1,0.0,21.751273238976456,135.28288807879255,20.6,20.6,8.0,0.0,0.4669004295012314,0.0
2019-01-21,0.0,19.699647261480187,118.73054197351225,17.6,17.6,2.2,0.0,0.0,21.84636172053624,21.33219190670313,128.53148722803104,133.15353325994175,9.7,23.0,9.7,23.0,3.4,16.9,0.0,21.84636172053624,128.53148722803104,9.7,9.7,3.4,0.0,21.33219190670313,133.15353325994175,23.0,23.0,16.9,0.0,0.4669004295012314,0.0
2019-01-22,0.1129216894724767,20.20822659664827,117.84627616723036,21.5,21.5,13.9,8.159835951448065,0.0,21.261519292689982,20.913110574429805,127.30357465201612,131.02417844109092,10.2,22.3,10.2,22.3,7.3,12.5,8.159835951448065,21.261519292689982,127.30357465201612,10.2,10.2,7.3,0.0,20.913110574429805,131.02417844109092,22.3,22.3,12.5,0.0,0.4669004295012314,0.0
2019-01-23,10.34776011986838,20.71680593181635,116.96201036094848,17.2,17.2,2.7,0.0,0.0,20.67667686484373,21.530591919406703,126.0756620760012,130.37691871582646,14.7,18.8,14.7,18.8,7.2,9.1,0.0,20.67667686484373,126.0756620760012,14.7,14.7,7.2,0.0,21.530591919406703,130.37691871582646,18.8,18.8,9.1,0.0,0.4669004295012314,0.0
2019-01-24,0.0,21.53309518540824,117.79091103253734,14.7,14.7,0.7,0.0,0.0,20.091834436997484,22.1480732643836,124.84774949998628,129.729658990562,21.0,13.8,21.0,13.8,11.3,5.8,0.0,20.091834436997484,124.84774949998628,21.0,21.0,11.3,0.0,22.1480732643836,129.729658990562,13.8,13.8,5.8,0.0,0.4669004295012314,0.0
2019-01-25,0.0,22.34938443900013,118.6198117041262,12.2,12.2,4.2,0.0,0.0,19.79157893343569,22.7655546093605,123.10343559325555,129.08239926529754,19.4,17.8,19.4,17.8,10.9,9.7,0.0,19.79157893343569,123.10343559325555,19.4,19.4,10.9,0.0,22.7655546093605,129.08239926529754,17.8,17.8,9.7,0.0,0.4669004295012314,0.0
