date,precip_mm_sum,soil_rootzone_moisture,soil_surface_moisture,t2m_max,t2m_mean,t2m_min
2019-01-01,0.4711065707332666,,,17.9,10.5,5.0
2019-01-02,29.98213837579586,121.47848344438793,24.44960254819845,14.4,11.5,9.5
2019-01-03,29.01489267957665,,,12.8,10.7,7.6
2019-01-04,0.0,,,14.7,7.1,2.1
2019-01-05,0.0,120.07272747462,22.08408850718439,20.0,10.8,4.4
2019-01-06,0.0,,,21.5,13.8,8.5
2019-01-07,0.2613447941270805,,,22.7,18.2,15.5
2019-01-08,0.0,115.01350780444162,21.034947931018063,24.0,19.3,16.3
2019-01-09,0.0,,,20.7,16.1,12.9
2019-01-10,0.0,,,14.9,10.3,5.9
2019-01-11,0.0,117.04191946418105,22.78648059290166,18.6,12.5,8.6
2019-01-12,1.4558647496635604,,,17.7,16.0,14.1
2019-01-13,0.0,,,13.5,9.2,5.3
2019-01-14,0.0,117.0136801508016,22.08797693659539,10.6,7.3,4.0
2019-01-15,0.0,,,10.8,9.0,6.9
2019-01-16,2.798420968062592,,,17.2,12.1,9.3
2019-01-17,0.0,115.47263672012247,22.378375176220125,21.3,17.0,14.1
2019-01-18,0.15132893706836914,,,21.1,15.9,12.2
2019-01-19,6.050960759224927,,,20.1,14.5,8.4
2019-01-20,0.0,117.18764045899869,21.736034249505614,9.9,5.0,0.6
2019-01-21,0.0,,,16.1,8.2,2.6
2019-01-22,0.0,,,22.5,18.1,14.6
2019-01-23,26.8906157485782,120.6932722938519,24.05825373803482,20.0,9.7,3.4
2019-01-24,0.0,,,14.1,6.1,-0.2
2019-01-25,0.0,,,15.8,8.2,2.3
2019-01-26,0.0024200633978005647,119.56788707207595,23.11630915713519,16.9,11.4,7.8
2019-01-27,3.165812647746898,,,17.3,12.5,7.9
2019-01-28,0.0,,,20.1,13.2,8.9
2019-01-29,0.0,117.98971154665566,23.09550477221633,16.0,8.5,3.1
2019-01-30,1.485989589370444,,,11.0,6.8,4.5
2019-01-31,9.956815944220317,,,17.9,12.2,8.8
2019-02-01,9.441822701888611,119.10079610631888,23.742310256226784,19.2,14.9,13.3
2019-02-02,0.0,,,18.6,15.8,13.9
2019-02-03,0.0,,,22.6,17.4,14.6
2019-02-04,1.3129723892096705,117.33096807194535,21.574997458705745,25.4,20.6,17.9
2019-02-05,0.03820175007564928,,,25.3,21.0,18.8
2019-02-06,0.5732472452531447,,,25.5,22.0,20.1
2019-02-07,0.7171144345046048,112.84709554721361,21.399065649864042,23.6,20.4,14.3
2019-02-08,5.004115988600651,,,13.1,6.7,3.9
2019-02-09,0.005792464178444793,,,8.0,5.0,3.2
2019-02-10,0.33146632243135077,110.47801051723954,21.928414251929812,20.8,11.8,5.8
2019-02-11,3.311432324239542,,,23.7,19.2,16.4
2019-02-12,10.549929942960096,,,20.4,17.1,14.1
2019-02-13,0.0,109.8349481704281,19.523189311105927,16.9,10.5,3.6
2019-02-14,2.624051398079987,,,22.7,15.7,11.4
2019-02-15,1.0057884108614874,,,24.7,19.0,15.3
2019-02-16,0.6869051434765441,103.97857248267393,18.407114202631224,20.7,18.7,15.1
2019-02-17,0.0,,,20.3,17.9,16.0
2019-02-18,0.0,,,17.1,11.5,7.4
2019-02-19,0.0,99.97910748500705,18.616436695032156,15.0,10.4,6.9
2019-02-20,0.3542472977280529,,,17.5,10.0,7.0
2019-02-21,0.0,,,15.7,13.0,10.3
2019-02-22,0.0,99.56217954087029,19.88918224867597,24.7,15.1,9.9
2019-02-23,0.34067281962330853,,,23.0,20.8,19.3
2019-02-24,0.002835476418294649,,,18.6,13.9,8.7
2019-02-25,7.156041665311825,102.84124042191168,21.735083316766737,16.7,12.3,9.1
2019-02-26,11.878408102482503,,,20.5,16.2,12.2
2019-02-27,13.77549541566021,,,25.5,19.0,15.7
2019-02-28,7.269877964022597,113.42485544833752,21.778812068288673,21.1,16.0,10.3
2019-03-01,0.7090854354813255,,,18.6,10.6,6.8
2019-03-02,0.20437729701607432,,,22.7,17.4,14.4
2019-03-03,0.30986364743671285,109.6558637253369,20.182690197383256,20.7,16.3,12.5
2019-03-04,0.0,,,9.5,4.7,1.9
2019-03-05,0.036183416703489485,,,7.5,2.3,-1.7
2019-03-06,0.0,106.09591236823863,18.964019415852622,13.6,6.2,0.8
2019-03-07,0.0,,,22.5,15.2,10.6
2019-03-08,0.5592096112537777,,,24.5,20.8,18.6
2019-03-09,0.1445572922437007,100.80862670664177,17.94913990585078,24.9,22.1,19.7
2019-03-10,1.2079608641705892,,,26.2,21.2,16.8
2019-03-11,0.8952052927736852,,,26.8,22.5,20.4
2019-03-12,10.767059441576157,102.99388076017537,22.645222690467037,23.2,20.9,18.9
2019-03-13,1.2596492944967332,,,23.9,21.5,19.9
2019-03-14,0.0,,,22.8,21.4,16.8
2019-03-15,0.03532692717057091,105.739223922965,19.12509635342212,19.1,14.2,10.5
2019-03-16,8.111667132725394,,,16.4,12.6,9.4
2019-03-17,0.14766603932953234,,,16.8,13.0,10.5
2019-03-18,0.02427169296181653,100.9060129972759,17.231323597036813,18.9,13.1,8.3
2019-03-19,0.0,,,19.9,14.1,9.1
2019-03-20,0.0,,,21.4,15.3,10.0
2019-03-21,0.0,93.66167995225696,14.82130929279597,21.7,16.5,10.8
2019-03-22,0.0,,,24.2,16.8,9.9
2019-03-23,0.0,,,22.2,17.7,13.5
2019-03-24,0.0,85.27379576117329,13.289201725162677,25.4,19.9,16.1
2019-03-25,0.0,,,26.5,21.4,18.0
2019-03-26,0.0,,,25.1,19.0,13.6
2019-03-27,0.0,76.57012188391182,11.846996870490107,21.7,17.3,12.5
2019-03-28,0.0,,,23.5,16.9,12.0
2019-03-29,0.0,,,24.3,19.7,16.3
2019-03-30,0.0,69.13912396501362,10.983460195044055,25.5,20.2,17.0
2019-03-31,6.238240137632824,,,15.5,11.3,7.9
2019-04-01,0.0,,,13.4,9.3,5.7
2019-04-02,0.0,63.704680346644274,11.031552241615104,19.8,11.2,4.3
2019-04-03,0.0,,,21.1,15.2,9.8
2019-04-04,0.39197986510886274,,,26.1,20.4,16.8
2019-04-05,0.06623684934203981,59.47574913251116,9.569942098906253,26.3,21.7,17.6
2019-04-06,5.027704210540464,,,25.6,21.1,19.2
2019-04-07,19.032040537837524,,,25.1,20.9,18.5
2019-04-08,0.0,72.3576926186227,16.544655885566687,26.2,19.8,15.9
2019-04-09,0.0,,,28.8,21.6,15.7
2019-04-10,0.0,,,28.6,22.7,17.3
2019-04-11,0.0,69.27842274951712,10.9216118276203,26.3,22.1,17.9
2019-04-12,6.29540273941784,,,23.8,18.9,15.1
2019-04-13,0.0,,,27.5,22.4,18.0
2019-04-14,0.0,64.6409562535846,10.439817130129532,22.8,14.2,8.2
2019-04-15,0.0,,,23.7,16.8,11.0
2019-04-16,0.0,,,24.8,19.9,15.8
2019-04-17,3.853181518256948,59.25080780358624,14.035243694011262,26.0,22.3,20.3
