date,precip_mm_sum
2023-01-01,2.698
2023-01-02,1.297
2023-01-03,1.899
2023-01-04,1.538
2023-01-05,2.04
2023-01-06,3.907
2023-01-07,0.0
2023-01-08,3.596
2023-01-09,2.278
2023-01-10,7.878
2023-01-11,4.686
2023-01-12,7.417
2023-01-13,6.189
2023-01-14,2.984
2023-01-15,5.853
2023-01-16,1.047
2023-01-17,3.483
2023-01-18,3.521
2023-01-19,1.759
2023-01-20,7.099
2023-01-21,7.322
2023-01-22,7.648
2023-01-23,5.059
2023-01-24,3.601
2023-01-25,5.886
2023-01-26,2.391
2023-01-27,2.504
2023-01-28,2.547
2023-01-29,7.242
2023-01-30,6.537
2023-01-31,2.895
2023-02-01,1.208
2023-02-02,5.171
2023-02-03,7.004
2023-02-04,1.881
2023-02-05,3.36
2023-02-06,10.912
2023-02-07,2.757
2023-02-08,1.716
2023-02-09,5.696
2023-02-10,5.511
2023-02-11,5.332
2023-02-12,0.665
2023-02-13,2.511
2023-02-14,4.307
2023-02-15,2.407
2023-02-16,2.127
2023-02-17,6.416
2023-02-18,2.008
2023-02-19,0.0
2023-02-20,6.499
2023-02-21,1.615
2023-02-22,3.245
2023-02-23,9.899
2023-02-24,6.786
2023-02-25,6.815
2023-02-26,0.918
2023-02-27,5.114
2023-02-28,5.509
2023-03-01,4.982
2023-03-02,6.131
2023-03-03,7.503
2023-03-04,7.4
2023-03-05,8.975
2023-03-06,6.61
2023-03-07,0.0
2023-03-08,5.575
2023-03-09,7.004
2023-03-10,5.404
2023-03-11,1.727
2023-03-12,2.514
2023-03-13,0.0
2023-03-14,2.867
2023-03-15,3.101
2023-03-16,4.191
2023-03-17,0.0
2023-03-18,2.62
2023-03-19,5.109
2023-03-20,2.953
2023-03-21,2.263
2023-03-22,5.245
2023-03-23,3.229
2023-03-24,0.403
2023-03-25,6.336
2023-03-26,0.0
2023-03-27,0.0
2023-03-28,0.0
2023-03-29,2.557
2023-03-30,4.042
2023-03-31,8.216
2023-04-01,5.1
2023-04-02,0.0
2023-04-03,8.261
2023-04-04,0.0
2023-04-05,1.696
2023-04-06,2.614
2023-04-07,6.261
2023-04-08,5.121
2023-04-09,1.116
2023-04-10,1.88
2023-04-11,3.205
2023-04-12,1.331
2023-04-13,5.041
2023-04-14,0.0
2023-04-15,6.046
2023-04-16,2.791
2023-04-17,3.14
2023-04-18,6.897
2023-04-19,9.95
2023-04-20,3.58
2023-04-21,4.925
2023-04-22,6.936
2023-04-23,5.657
2023-04-24,6.656
2023-04-25,5.186
2023-04-26,9.156
2023-04-27,5.465
2023-04-28,5.157
2023-04-29,3.878
2023-04-30,4.25
2023-05-01,3.433
2023-05-02,0.338
2023-05-03,2.344
2023-05-04,8.747
2023-05-05,0.0
2023-05-06,0.0
2023-05-07,8.303
2023-05-08,0.489
2023-05-09,5.726
2023-05-10,1.769
2023-05-11,9.538
2023-05-12,1.745
2023-05-13,3.112
2023-05-14,6.027
2023-05-15,3.227
2023-05-16,4.603
2023-05-17,4.31
2023-05-18,8.073
2023-05-19,4.169
2023-05-20,1.07
2023-05-21,4.73
2023-05-22,0.11
2023-05-23,1.885
2023-05-24,6.745
2023-05-25,0.0
2023-05-26,6.207
2023-05-27,5.599
2023-05-28,3.811
2023-05-29,5.331
2023-05-30,6.163
2023-05-31,0.863
2023-06-01,4.224
2023-06-02,6.645
2023-06-03,5.529
2023-06-04,8.602
2023-06-05,3.323
2023-06-06,6.433
2023-06-07,8.195
2023-06-08,3.956
2023-06-09,3.517
2023-06-10,1.685
2023-06-11,4.851
2023-06-12,8.394
2023-06-13,0.0
2023-06-14,0.0
2023-06-15,5.214
2023-06-16,7.613
2023-06-17,6.296
2023-06-18,2.438
2023-06-19,1.576
2023-06-20,3.88
2023-06-21,2.254
2023-06-22,0.0
2023-06-23,2.033
2023-06-24,5.098
2023-06-25,5.512
2023-06-26,4.857
2023-06-27,6.691
2023-06-28,9.5
2023-06-29,4.623
