date,t2m_max,t2m_min,t2m_mean,precip_mm
2019-01-01,26.7,17.8,21.7,0.0
2019-01-02,27.2,18.4,22.0,0.0
2019-01-03,26.3,18.5,22.4,0.5
2019-01-04,26.7,18.9,22.3,0.0
2019-01-05,25.7,17.5,21.9,8.0
2019-01-06,25.4,16.9,21.2,5.3
2019-01-07,26.0,18.2,21.7,0.6
2019-01-08,25.6,18.1,21.1,16.5
2019-01-09,24.6,18.6,21.3,5.8
2019-01-10,24.3,18.0,20.8,2.7
2019-01-11,24.6,17.1,20.3,6.9
2019-01-12,24.9,18.4,21.1,3.5
2019-01-13,24.7,17.3,20.9,3.1
2019-01-14,25.2,18.0,21.1,2.2
2019-01-15,24.7,17.5,20.6,2.8
2019-01-16,24.2,17.6,20.6,15.8
2019-01-17,24.0,17.8,20.7,1.2
2019-01-18,24.4,17.4,20.4,7.4
2019-01-19,25.0,17.0,20.5,0.5
2019-01-20,25.2,18.1,21.2,0.2
2019-01-21,25.0,18.5,21.4,7.6
2019-01-22,25.6,19.8,22.1,2.8
2019-01-23,26.1,18.8,22.6,0.0
2019-01-24,25.9,18.1,21.7,0.0
2019-01-25,26.6,17.0,21.4,0.0
2019-01-26,25.9,15.9,20.7,0.0
2019-01-27,24.9,17.9,20.8,0.0
2019-01-28,24.4,20.1,22.1,1.1
2019-01-29,24.6,19.1,21.9,2.5
2019-01-30,24.1,18.1,21.3,16.6
2019-01-31,24.5,19.4,21.7,9.4
2019-02-01,25.7,17.0,20.8,3.4
2019-02-02,25.1,17.2,20.7,7.5
2019-02-03,24.9,16.6,21.2,4.1
2019-02-04,24.6,17.6,20.7,4.5
2019-02-05,25.2,17.3,20.7,0.9
2019-02-06,24.8,18.7,21.6,0.0
2019-02-07,25.0,17.4,21.5,1.8
2019-02-08,25.4,19.3,22.2,0.4
2019-02-09,25.4,18.0,21.5,0.5
2019-02-10,26.1,19.1,22.1,0.2
2019-02-11,26.9,17.7,21.4,0.4
2019-02-12,25.8,17.5,21.4,0.1
2019-02-13,25.2,18.3,21.2,0.0
2019-02-14,24.7,19.0,21.5,4.5
2019-02-15,24.5,19.1,21.5,3.2
2019-02-16,25.3,18.3,21.7,1.2
