path,size_kb,empty,modified
data\austin_farmland\chirps_gee.csv,47.79,False,2025-10-28 11:46:14
data\austin_farmland\context_layers\phenology_soybean.csv,0.12,False,2025-10-28 10:38:15
data\austin_farmland\context_layers\phenology_soybean_metadata.json,0.15,False,2025-10-28 10:38:15
data\austin_farmland\context_layers\phenology_vegetables.csv,0.12,False,2025-10-28 10:38:16
data\austin_farmland\context_layers\phenology_vegetables_metadata.json,0.15,False,2025-10-28 10:38:16
data\austin_farmland\context_layers\soil.csv,0.17,False,2025-10-28 10:38:14
data\austin_farmland\context_layers\soil_metadata.json,0.13,False,2025-10-28 10:38:14
data\austin_farmland\context_layers\topography.csv,0.05,False,2025-10-28 10:38:15
data\austin_farmland\context_layers\topography_metadata.json,0.13,False,2025-10-28 10:38:15
data\austin_farmland\daily_merged.csv,64.48,False,2025-10-28 11:56:55
data\austin_farmland\insights_daily.csv,314.7,False,2025-10-28 09:30:17
data\austin_farmland\metadata.json,0.76,False,2025-10-28 11:56:55
data\austin_farmland\monthly_merged.csv,3.33,False,2025-10-28 11:56:55
data\austin_farmland\ndvi_gee.csv,4.75,False,2025-10-28 11:46:19
data\austin_farmland\openmeteo.csv,74.99,False,2025-10-28 09:29:50
data\austin_farmland\soil_gee.csv,11.31,False,2025-10-28 11:46:26
data\austin_farmland\training_window.csv,242.16,False,2025-10-28 12:03:47
