feature,importance
ndvi,0.37102546909355244
t2m_min,0.2179616857921347
month_cos,0.08636355835236129
t2m_max,0.059475803033898024
t2m_mean,0.05145634163647435
precip_mm_sum_rolling30,0.047416112171307326
t2m_max_rolling30,0.02274740015364487
t2m_mean_anomaly_rolling90,0.017621592967322984
soil_surface_moisture,0.013527842039033565
precip_mm_sum,0.013443364502775218
soil_rootzone_moisture,0.012804708399934377
t2m_mean_rolling30,0.012749135688282606
precip_mm_sum_ratio_rolling90,0.011646978312114978
t2m_min_rolling30,0.00996062701721186
soil_surface_moisture_lag1,0.004907078154098238
t2m_mean_anomaly_rolling30,0.004752000571691296
precip_mm_sum_anomaly_rolling90,0.004124730639303972
precip_mm_sum_ratio_rolling30,0.0033968255087151156
soil_rootzone_moisture_lag2,0.0033795018106066404
precip_mm_sum_rolling90,0.003294604002235355
month_sin,0.003237113350891343
soil_rootzone_moisture_lag1,0.0029941406005739675
t2m_mean_anomaly,0.0029483203306556777
soil_surface_moisture_lag2,0.0026787675383276458
t2m_mean_rolling90,0.0025640170673818
precip_mm_sum_ratio,0.0024161543380036414
precip_mm_sum_anomaly,0.0023431317130333884
t2m_max_rolling90,0.0021844626624953232
t2m_min_rolling90,0.0018847966714209768
soil_deficit_index,0.0014350290368358753
month,0.0010011143927323486
precip_mm_sum_anomaly_rolling30,0.000918374682038767
soil_deficit_index_lag2,0.0006959093777105918
soil_deficit_index_lag1,0.0006433083911993633
