month,crop_type,region_name,spi,ndvi_anomaly,soil_surface_moisture,temp_mean,rule_hits,model_signal,insight_text
2019-01,coffee,Houston Farmland,3.603,0.0,22.683,11.668,,0.5,"Houston Farmland (coffee) — 2019-01: precipitation 3.60 mm, NDVI anomaly 0.000, soil moisture 22.68, temperature 11.7 °C."
2019-02,coffee,Houston Farmland,2.728,0.0,20.86,15.425,,0.5,"Houston Farmland (coffee) — 2019-02: precipitation 2.73 mm, NDVI anomaly 0.000, soil moisture 20.86, temperature 15.4 °C."
2019-03,coffee,Houston Farmland,0.989,0.0,16.704,16.197,,0.5,"Houston Farmland (coffee) — 2019-03: precipitation 0.99 mm, NDVI anomaly 0.000, soil moisture 16.70, temperature 16.2 °C."
2019-04,coffee,Houston Farmland,2.196,0.0,10.9,19.887,,0.5,"Houston Farmland (coffee) — 2019-04: precipitation 2.20 mm, NDVI anomaly 0.000, soil moisture 10.90, temperature 19.9 °C."
2019-05,coffee,Houston Farmland,7.46,0.0,16.533,24.564,,0.5,"Houston Farmland (coffee) — 2019-05: precipitation 7.46 mm, NDVI anomaly 0.000, soil moisture 16.53, temperature 24.6 °C."
2019-06,coffee,Houston Farmland,6.639,0.0,18.6,27.027,,0.5,"Houston Farmland (coffee) — 2019-06: precipitation 6.64 mm, NDVI anomaly 0.000, soil moisture 18.60, temperature 27.0 °C."
2019-07,coffee,Houston Farmland,1.635,0.0,13.518,28.145,,0.5,"Houston Farmland (coffee) — 2019-07: precipitation 1.63 mm, NDVI anomaly 0.000, soil moisture 13.52, temperature 28.1 °C."
2019-08,coffee,Houston Farmland,2.237,0.0,13.504,29.248,,0.5,"Houston Farmland (coffee) — 2019-08: precipitation 2.24 mm, NDVI anomaly 0.000, soil moisture 13.50, temperature 29.2 °C."
2019-09,coffee,Houston Farmland,5.686,0.0,16.709,27.633,,0.5,"Houston Farmland (coffee) — 2019-09: precipitation 5.69 mm, NDVI anomaly 0.000, soil moisture 16.71, temperature 27.6 °C."
2019-10,coffee,Houston Farmland,4.132,0.0,15.851,21.823,,0.5,"Houston Farmland (coffee) — 2019-10: precipitation 4.13 mm, NDVI anomaly 0.000, soil moisture 15.85, temperature 21.8 °C."
