month,precip_mm_sum,soil_rootzone_moisture,soil_surface_moisture,t2m_max,t2m_mean,t2m_min
2019-01,0.8367,137.2344,25.4,25.2581,21.3387,18.0581
2019-02,1.9523,137.2344,25.4,26.0,21.7071,17.9357
2019-03,1.4253,137.2344,25.4,25.6065,21.9516,18.3484
2019-04,1.816,137.2344,25.4,26.3533,22.6,19.08
2019-05,2.4633,137.2344,25.4,27.5,23.9968,20.5774
2019-06,0.2707,137.2344,25.4,29.1033,25.01,20.91
2019-07,0.9551,137.2344,25.4,29.2032,25.3161,21.1774
2019-08,1.375,137.2344,25.4,29.2645,25.4258,21.371
2019-09,4.7579,137.2344,25.4,27.9833,24.7933,21.8367
2019-10,6.2489,137.2344,25.4,27.3871,23.971,21.0516
2019-11,4.1258,137.2344,25.4,26.7733,23.41,20.4967
2019-12,2.3566,137.2344,25.4,26.4032,22.8968,19.8613
2020-01,1.822,137.2344,25.4,26.1032,22.4806,19.2484
2020-02,0.6697,137.2344,25.4,26.7345,22.6241,19.0345
2020-03,0.8751,137.2344,25.4,26.2419,22.3129,18.7161
2020-04,0.8867,137.2344,25.4,27.7,23.7633,19.58
2020-05,1.9248,137.2344,25.4,28.5065,24.6903,20.9032
2020-06,1.6337,137.2344,25.4,29.1367,25.23,21.4167
2020-07,1.4381,137.2344,25.4,28.8258,25.2516,21.4935
2020-08,4.3569,137.2344,25.4,28.8419,25.1581,21.7161
2020-09,4.7321,137.2344,25.4,27.8,24.4533,21.4067
2020-10,10.7789,137.2344,25.4,26.971,24.0387,21.6774
2020-11,11.591,137.2344,25.4,26.0367,23.07,20.66
2020-12,1.2066,137.2344,25.4,25.4484,22.0903,19.2129
2021-01,0.9285,,,25.7129,21.6935,18.1871
2021-02,1.8019,,,26.2143,21.8893,18.2393
2021-03,0.7061,,,25.8935,22.0097,18.3161
2021-04,1.688,,,26.35,22.6733,19.2033
2021-05,0.538,,,27.4677,23.6516,19.7581
2021-06,2.7976,,,28.2,24.34,20.4867
2021-07,3.6177,,,28.5677,24.6258,20.9226
2021-08,11.6534,,,28.171,24.5484,21.2387
2021-09,1.386,,,27.8833,24.2967,20.8733
2021-10,2.8506,,,27.4097,23.9032,20.8484
2021-11,1.3365,,,26.66,22.8833,19.71
2021-12,1.556,,,26.3903,22.3968,19.2355
2022-01,1.1872,,,25.5097,21.3194,17.7903
2022-02,0.7292,,,25.6679,21.5679,18.0714
2022-03,1.4373,,,26.6032,22.4161,18.5387
2022-04,2.6506,,,26.4133,22.6167,19.0267
2022-05,2.2723,,,27.5839,23.9097,20.3581
2022-06,1.2895,,,27.9267,24.3033,20.8967
2022-07,1.1131,,,28.8,24.7387,20.8355
2022-08,3.1764,,,28.3129,24.5484,20.9645
2022-09,7.8562,,,27.5567,24.2767,21.31
2022-10,3.2224,,,26.9355,23.5742,20.6355
2022-11,1.4886,,,26.7233,23.0633,20.16
2022-12,0.9285,,,25.6355,21.5484,18.0484
2023-01,1.3945,,,25.529,21.329,17.571
2023-02,0.6397,,,26.025,21.6893,17.7964
2023-03,0.9335,,,26.071,21.7161,17.6065
2023-04,1.2051,,,26.2633,22.5833,18.7967
2023-05,2.4175,,,27.8226,24.2645,20.7548
2023-06,4.3292,,,28.8233,25.2533,21.95
2023-07,1.0874,,,29.9903,25.5419,21.5806
2023-08,2.7501,,,29.429,25.4806,22.2452
2023-09,3.0243,,,29.0433,25.02,21.81
2023-10,4.1484,,,28.0097,24.5387,21.7258
2023-11,9.1394,,,27.3,23.6233,20.8333
2023-12,1.3962,,,26.1548,22.5194,19.8161
2024-01,0.8604,,,26.8516,22.5677,19.3161
2024-02,0.9892,,,25.3724,21.3793,18.1621
2024-03,1.3314,,,27.2387,22.8903,19.2742
2024-04,1.533,,,27.69,23.71,20.3667
2024-05,2.353,,,28.2871,24.3645,20.9065
2024-06,6.3465,,,28.53,25.0933,22.19
2024-07,5.1394,,,29.429,25.3129,21.9355
2024-08,3.6889,,,29.1387,25.1452,21.9355
2024-09,4.8654,,,28.7033,24.9767,21.9533
2024-10,4.4807,,,27.9129,24.5903,22.0
2024-11,8.3668,,,26.45,23.2567,21.1133
2024-12,1.6999,,,26.5839,23.1194,20.8806
2025-01,1.3065,,,26.771,22.6194,19.6032
2025-02,1.1655,,,26.6857,22.4643,19.3107
2025-03,1.1348,,,26.9032,22.6387,19.1194
2025-04,1.5481,,,27.3867,23.0867,19.75
2025-05,0.9964,,,28.229,23.9839,20.4065
2025-06,1.4176,,,29.61,25.1667,21.3533
2025-07,0.4579,,,30.0806,25.4161,21.5516
2025-08,3.222,,,29.9968,25.4742,21.7677
2025-09,7.8541,,,28.64,24.77,21.8533
2025-10,,,,27.5167,24.0333,21.6633
