month,crop_type,region_name,spi,ndvi_anomaly,soil_surface_moisture,temp_mean,rule_hits,model_signal,insight_text
2019-01,coffee,Jamaica Bluemountains,0.837,0.0,25.4,21.339,,0.5,"Jamaica Bluemountains (coffee) — 2019-01: precipitation 0.84 mm, NDVI anomaly 0.000, soil moisture 25.40, temperature 21.3 °C."
2019-02,coffee,Jamaica Bluemountains,1.952,0.0,25.4,21.707,,0.5,"Jamaica Bluemountains (coffee) — 2019-02: precipitation 1.95 mm, NDVI anomaly 0.000, soil moisture 25.40, temperature 21.7 °C."
2019-03,coffee,Jamaica Bluemountains,1.425,0.0,25.4,21.952,,0.5,"Jamaica Bluemountains (coffee) — 2019-03: precipitation 1.43 mm, NDVI anomaly 0.000, soil moisture 25.40, temperature 22.0 °C."
2019-04,coffee,Jamaica Bluemountains,1.816,0.0,25.4,22.6,,0.5,"Jamaica Bluemountains (coffee) — 2019-04: precipitation 1.82 mm, NDVI anomaly 0.000, soil moisture 25.40, temperature 22.6 °C."
2019-05,coffee,Jamaica Bluemountains,2.463,0.0,25.4,23.997,,0.5,"Jamaica Bluemountains (coffee) — 2019-05: precipitation 2.46 mm, NDVI anomaly 0.000, soil moisture 25.40, temperature 24.0 °C."
2019-06,coffee,Jamaica Bluemountains,0.271,0.0,25.4,25.01,,0.5,"Jamaica Bluemountains (coffee) — 2019-06: precipitation 0.27 mm, NDVI anomaly 0.000, soil moisture 25.40, temperature 25.0 °C."
2019-07,coffee,Jamaica Bluemountains,0.955,0.0,25.4,25.316,,0.5,"Jamaica Bluemountains (coffee) — 2019-07: precipitation 0.96 mm, NDVI anomaly 0.000, soil moisture 25.40, temperature 25.3 °C."
2019-08,coffee,Jamaica Bluemountains,1.375,0.0,25.4,25.426,,0.5,"Jamaica Bluemountains (coffee) — 2019-08: precipitation 1.38 mm, NDVI anomaly 0.000, soil moisture 25.40, temperature 25.4 °C."
2019-09,coffee,Jamaica Bluemountains,4.758,0.0,25.4,24.793,,0.5,"Jamaica Bluemountains (coffee) — 2019-09: precipitation 4.76 mm, NDVI anomaly 0.000, soil moisture 25.40, temperature 24.8 °C."
2019-10,coffee,Jamaica Bluemountains,6.249,0.0,25.4,23.971,,0.5,"Jamaica Bluemountains (coffee) — 2019-10: precipitation 6.25 mm, NDVI anomaly 0.000, soil moisture 25.40, temperature 24.0 °C."
2019-11,coffee,Jamaica Bluemountains,4.126,0.0,25.4,23.41,,0.5,"Jamaica Bluemountains (coffee) — 2019-11: precipitation 4.13 mm, NDVI anomaly 0.000, soil moisture 25.40, temperature 23.4 °C."
2019-12,coffee,Jamaica Bluemountains,2.357,0.0,25.4,22.897,,0.5,"Jamaica Bluemountains (coffee) — 2019-12: precipitation 2.36 mm, NDVI anomaly 0.000, soil moisture 25.40, temperature 22.9 °C."
2020-01,coffee,Jamaica Bluemountains,1.822,0.0,25.4,22.481,,0.5,"Jamaica Bluemountains (coffee) — 2020-01: precipitation 1.82 mm, NDVI anomaly 0.000, soil moisture 25.40, temperature 22.5 °C."
2020-02,coffee,Jamaica Bluemountains,0.67,0.0,25.4,22.624,,0.5,"Jamaica Bluemountains (coffee) — 2020-02: precipitation 0.67 mm, NDVI anomaly 0.000, soil moisture 25.40, temperature 22.6 °C."
2020-03,coffee,Jamaica Bluemountains,0.875,0.0,25.4,22.313,,0.5,"Jamaica Bluemountains (coffee) — 2020-03: precipitation 0.88 mm, NDVI anomaly 0.000, soil moisture 25.40, temperature 22.3 °C."
2020-04,coffee,Jamaica Bluemountains,0.887,0.0,25.4,23.763,,0.5,"Jamaica Bluemountains (coffee) — 2020-04: precipitation 0.89 mm, NDVI anomaly 0.000, soil moisture 25.40, temperature 23.8 °C."
2020-05,coffee,Jamaica Bluemountains,1.925,0.0,25.4,24.69,,0.5,"Jamaica Bluemountains (coffee) — 2020-05: precipitation 1.92 mm, NDVI anomaly 0.000, soil moisture 25.40, temperature 24.7 °C."
2020-06,coffee,Jamaica Bluemountains,1.634,0.0,25.4,25.23,,0.5,"Jamaica Bluemountains (coffee) — 2020-06: precipitation 1.63 mm, NDVI anomaly 0.000, soil moisture 25.40, temperature 25.2 °C."
2020-07,coffee,Jamaica Bluemountains,1.438,0.0,25.4,25.252,,0.5,"Jamaica Bluemountains (coffee) — 2020-07: precipitation 1.44 mm, NDVI anomaly 0.000, soil moisture 25.40, temperature 25.3 °C."
